Format Version,1.23,Take Name,Take 2023-03-16 11.43.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.43.17.152 A.M.,Capture Start Frame,6968541,Total Frames in Take,956,Total Exported Frames,956,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,0.358333,,,,,,,,,,,,,0.335089,0.143117,-0.099830,-23.233831,103.596130,-30.611906
44,0.366667,,,,,,,,,,,,,0.344286,0.145740,-0.113126,-23.230120,103.604973,-30.614244
45,0.375000,,,,,,,,,,,,,0.320918,0.150921,-0.096540,-23.221327,103.624985,-30.624714
46,0.383333,,,,,,,,,,,,,0.315252,0.149540,-0.100255,-23.223066,103.616402,-30.621675
47,0.391667,,,,,,,,,,,,,0.320642,0.146591,-0.105049,-23.217852,103.617035,-30.622589
48,0.400000,,,,,,,,,,,,,0.314770,0.151695,-0.094886,-23.207336,103.621910,-30.623060
49,0.408333,,,,,,,,,,,,,0.313151,0.153543,-0.096142,-23.203230,103.618874,-30.621092
50,0.416667,,,,,,,,,,,,,0.359211,0.136252,-0.129234,-23.219429,103.603035,-30.620508
51,0.425000,,,,,,,,,,,,,0.453516,0.033548,-0.315968,-23.263018,103.693802,-30.724096
52,0.433333,,,,,,,,,,,,,0.344460,0.149749,-0.123905,-23.193567,103.621315,-30.618187
53,0.441667,,,,,,,,,,,,,0.349267,0.145612,-0.127850,-23.183548,103.619194,-30.610542
54,0.450000,,,,,,,,,,,,,0.327604,0.151480,-0.113401,-23.173122,103.635201,-30.613131
55,0.458333,,,,,,,,,,,,,0.342264,0.146718,-0.128944,-23.178495,103.625687,-30.620705
56,0.466667,,,,,,,,,,,,,0.331617,0.147972,-0.116066,-23.169764,103.629677,-30.620586
57,0.475000,,,,,,,,,,,,,0.341039,0.144759,-0.128743,-23.186405,103.614861,-30.609652
58,0.483333,,,,,,,,,,,,,0.326091,0.154328,-0.120457,-23.177872,103.621620,-30.632538
59,0.491667,,,,,,,,,,,,,0.437333,0.049481,-0.303311,-23.235569,103.693993,-30.727539
60,0.500000,,,,,,,,,,,,,0.332440,0.147523,-0.132666,-23.179092,103.622414,-30.626085
61,0.508333,,,,,,,,,,,,,0.335673,0.153482,-0.128723,-23.180363,103.631989,-30.629190
62,0.516667,,,,,,,,,,,,,0.533091,-0.067665,-0.509178,-23.263538,103.896774,-30.923929
63,0.525000,,,,,,,,,,,,,0.349905,0.144322,-0.138988,-23.193130,103.610596,-30.631725
64,0.533333,,,,,,,,,,,,,0.344128,0.149180,-0.137434,-23.198839,103.607689,-30.635920
65,0.541667,,,,,,,,,,,,,0.322444,0.157498,-0.119336,-23.189060,103.620056,-30.635792
66,0.550000,,,,,,,,,,,,,0.311119,0.156239,-0.107084,-23.185347,103.625381,-30.635553
67,0.558333,,,,,,,,,,,,,0.324648,0.157854,-0.111124,-23.185036,103.617317,-30.628799
68,0.566667,,,,,,,,,,,,,0.305615,0.160583,-0.097674,-23.172316,103.633652,-30.630432
69,0.575000,,,,,,,,,,,,,0.301163,0.156920,-0.098951,-23.171940,103.634521,-30.627068
70,0.583333,,,,,,,,,,,,,0.333454,0.144562,-0.126552,-23.171030,103.623466,-30.615448
71,0.591667,,,,,,,,,,,,,0.411771,0.047939,-0.291638,-23.234690,103.707840,-30.723291
72,0.600000,,,,,,,,,,,,,0.335935,0.144822,-0.119588,-23.184446,103.623077,-30.611708
73,0.608333,,,,,,,,,,,,,0.328595,0.142856,-0.110672,-23.190870,103.614639,-30.603279
74,0.616667,,,,,,,,,,,,,0.318245,0.148684,-0.106880,-23.189825,103.621338,-30.616098
75,0.625000,,,,,,,,,,,,,0.329838,0.148015,-0.117364,-23.181381,103.615616,-30.619600
76,0.633333,,,,,,,,,,,,,0.312841,0.159386,-0.107926,-23.169512,103.638306,-30.622513
77,0.641667,,,,,,,,,,,,,0.535168,-0.067697,-0.517011,-23.258648,103.904167,-30.908230
78,0.650000,,,,,,,,,,,,,0.430219,0.042264,-0.310573,-23.227203,103.721169,-30.719276
79,0.658333,,,,,,,,,,,,,0.415988,0.046704,-0.293389,-23.227880,103.707901,-30.719706
80,0.666667,,,,,,,,,,,,,0.310846,0.156162,-0.106951,-23.162724,103.625618,-30.615496
81,0.675000,,,,,,,,,,,,,0.328404,0.142879,-0.122828,-23.178553,103.619148,-30.620281
82,0.683333,,,,,,,,,,,,,0.322591,0.148938,-0.120496,-23.173489,103.639900,-30.635857
83,0.691667,,,,,,,,,,,,,0.323759,0.147069,-0.124878,-23.169565,103.637123,-30.628105
84,0.700000,,,,,,,,,,,,,1.271842,0.437742,0.235012,-23.258772,102.563057,-29.562298
85,0.708333,,,,,,,,,,,,,0.310366,0.154526,-0.123416,-23.153189,103.657097,-30.641161
86,0.716667,,,,,,,,,,,,,0.335679,0.149454,-0.138850,-23.160110,103.633263,-30.625639
87,0.725000,,,,,,,,,,,,,0.321972,0.153292,-0.129976,-23.153784,103.647568,-30.636732
88,0.733333,,,,,,,,,,,,,0.539407,-0.069094,-0.537465,-23.238733,103.908043,-30.929222
89,0.741667,,,,,,,,,,,,,0.368668,0.145612,-0.162183,-23.156002,103.612602,-30.643330
90,0.750000,,,,,,,,,,,,,0.418853,0.136757,-0.191706,-23.162476,103.604797,-30.645761
91,0.758333,,,,,,,,,,,,,0.431464,0.118579,-0.206919,-23.160742,103.599586,-30.648888
92,0.766667,,,,,,,,,,,,,0.617931,-0.087403,-0.594389,-23.231281,103.904518,-30.976709
93,0.775000,,,,,,,,,,,,,0.453509,0.119247,-0.224732,-23.162138,103.562759,-30.651487
