Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
67,0.558333,-179.969513,2.323724,-178.943436,-2194.255859,125.885086,14.001878
68,0.566667,-179.953384,2.317229,-178.937729,-2194.273926,125.892357,13.995850
69,0.575000,-179.952164,2.316506,-178.938873,-2194.271484,125.900314,13.994022
70,0.583333,-179.958145,2.326610,-178.941055,-2194.251465,125.884430,13.992759
71,0.591667,-179.948456,2.316492,-178.936981,-2194.271729,125.902069,14.001251
72,0.600000,-179.951981,2.315801,-178.934341,-2194.279053,125.889641,13.999879
73,0.608333,-179.971191,2.324863,-178.945602,-2194.259033,125.882477,13.998895
74,0.616667,-179.962067,2.327133,-178.947693,-2194.256592,125.883713,13.996961
75,0.625000,-179.954086,2.315703,-178.935440,-2194.271240,125.905411,13.994797
76,0.633333,-179.956100,2.316985,-178.936493,-2194.273682,125.900581,13.995877
77,0.641667,-179.965485,2.328875,-178.941696,-2194.254639,125.885727,14.002000
78,0.650000,-179.967087,2.324706,-178.942810,-2194.256348,125.878456,14.003541
79,0.658333,-179.968048,2.323412,-178.942062,-2194.259766,125.881020,13.994353
80,0.666667,-179.950241,2.314027,-178.937027,-2194.272705,125.895424,13.993888
81,0.675000,-179.966873,2.327146,-178.943436,-2194.256104,125.892265,13.990211
82,0.683333,-179.957840,2.325275,-178.947998,-2194.250488,125.883919,13.993474
83,0.691667,-179.949783,2.313975,-178.935852,-2194.280518,125.900772,13.999270
84,0.700000,-179.954880,2.314548,-178.930618,-2194.278320,125.893219,13.996317
85,0.708333,-179.947250,2.315770,-178.939026,-2194.277344,125.896347,14.002251
86,0.716667,-179.961990,2.324471,-178.949310,-2194.250488,125.887024,13.992391
87,0.725000,-179.969147,2.325957,-178.942429,-2194.260010,125.890572,14.001497
88,0.733333,-179.948303,2.313319,-178.935608,-2194.274902,125.898376,13.997421
89,0.741667,-179.953186,2.317353,-178.937759,-2194.279785,125.900131,13.999218
90,0.750000,-179.968918,2.321921,-178.945099,-2194.261719,125.887779,13.997673
91,0.758333,-179.966751,2.327712,-178.949829,-2194.255127,125.895676,14.002641
92,0.766667,-179.960419,2.327981,-178.949417,-2194.255371,125.891045,13.994058
93,0.775000,-179.962265,2.327248,-178.945694,-2194.255859,125.886780,13.994516
94,0.783333,-179.956970,2.329424,-178.946045,-2194.261963,125.882164,14.002596
95,0.791667,-179.967926,2.323366,-178.942139,-2194.261719,125.878304,14.005562
96,0.800000,-179.964401,2.323701,-178.944427,-2194.259033,125.892891,14.010160
97,0.808333,-179.948502,2.314220,-178.933350,-2194.271484,125.909927,13.996255
98,0.816667,-179.975906,2.330129,-178.956146,-2194.271484,125.875786,13.956540
99,0.825000,-179.966476,2.330776,-178.950684,-2194.243164,125.894188,13.994139
100,0.833333,-179.970657,2.323916,-178.945709,-2194.258301,125.894127,14.009806
101,0.841667,-179.950928,2.313124,-178.938309,-2194.284424,125.898064,14.012554
102,0.850000,-179.944824,2.319072,-178.935410,-2194.278809,125.894562,14.010938
103,0.858333,-179.956390,2.317173,-178.936554,-2194.279053,125.898376,13.998035
104,0.866667,-179.962967,2.322939,-178.941116,-2194.247803,125.898483,13.999876
105,0.875000,-179.967300,2.326713,-178.942551,-2194.240967,125.905647,13.999488
106,0.883333,-179.963501,2.328847,-178.947983,-2194.252197,125.892075,13.994613
107,0.891667,-179.960754,2.325535,-178.944763,-2194.258301,125.883652,14.003663
108,0.900000,-179.949142,2.316327,-178.928329,-2194.281738,125.885872,14.011597
109,0.908333,-179.949203,2.315997,-178.936996,-2194.280029,125.902863,14.013329
110,0.916667,-179.953445,2.312758,-178.936996,-2194.277344,125.900108,13.999057
111,0.925000,-179.959518,2.328014,-178.947891,-2194.251221,125.892418,13.985213
112,0.933333,-179.962631,2.326965,-178.942871,-2194.255859,125.899597,13.993558
113,0.941667,-179.967529,2.325998,-178.948303,-2194.263428,125.895111,14.008767
114,0.950000,-179.955383,2.310866,-178.936920,-2194.285400,125.887054,14.006882
115,0.958333,-179.969070,2.324666,-178.944504,-2194.267578,125.877899,14.002012
116,0.966667,-179.966660,2.321861,-178.940140,-2194.257080,125.888008,13.992902
117,0.975000,-179.967468,2.331703,-178.953979,-2194.256592,125.894577,13.998597
118,0.983333,-179.959564,2.327477,-178.943314,-2194.262939,125.886353,13.989826
119,0.991667,-179.962845,2.331236,-178.947205,-2194.264893,125.877068,13.991304
120,1.000000,-179.949539,2.313726,-178.934174,-2194.289795,125.886574,13.999023
121,1.008333,-179.956314,2.310919,-178.933960,-2194.287842,125.890953,14.005340
122,1.016667,-179.948578,2.325821,-178.942123,-2194.266846,125.886841,13.997373
123,1.025000,-179.957199,2.327011,-178.949142,-2194.264893,125.875053,13.985687
124,1.033333,-179.968842,2.328543,-178.938354,-2194.262695,125.883743,13.997199
125,1.041667,-179.954346,2.312577,-178.932236,-2194.282715,125.897583,13.996148
126,1.050000,-179.970398,2.320156,-178.943924,-2194.263916,125.877632,13.998653
127,1.058333,-179.956085,2.316315,-178.935028,-2194.282959,125.889229,14.000677
128,1.066667,-179.951447,2.315406,-178.934204,-2194.275635,125.893013,13.990687
129,1.075000,-179.958405,2.325721,-178.943268,-2194.261963,125.876915,14.000876
130,1.083333,-179.961395,2.321789,-178.935181,-2194.265381,125.870392,13.999273
131,1.091667,-179.959427,2.325425,-178.945602,-2194.261719,125.867950,13.997196
132,1.100000,-179.966629,2.325441,-178.947235,-2194.268555,125.879150,14.001199
133,1.108333,-179.965088,2.329856,-178.943207,-2194.257080,125.872627,13.989200
134,1.116667,-179.967056,2.323416,-178.951553,-2194.253174,125.888321,13.986774
135,1.125000,-179.967865,2.326264,-178.941147,-2194.255615,125.878410,13.987132
136,1.133333,-179.966904,2.322707,-178.946945,-2194.261963,125.877441,13.999816
137,1.141667,-179.963577,2.325070,-178.943848,-2194.260010,125.871704,14.001620
138,1.150000,-179.966736,2.328660,-178.946442,-2194.258301,125.877571,13.998895
139,1.158333,-179.961639,2.322548,-178.946457,-2194.251221,125.880104,13.986381
140,1.166667,-179.963882,2.327644,-178.946976,-2194.246094,125.889542,13.983608
141,1.175000,-179.953461,2.315753,-178.931595,-2194.276367,125.898956,13.987856
