Format Version,1.23,Take Name,LineTest 09022023_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-02-09 11.44.19.396 A.M.,Capture Start Frame,13175340,Total Frames in Take,1997,Total Exported Frames,1997,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
44,0.366667,,,,,,,,,,,,,0.295867,-3.663834,-0.450668,268.169830,97.991447,213.813370
45,0.375000,,,,,,,,,,,,,0.320317,-3.656826,-0.435269,268.153198,97.955032,213.827927
46,0.383333,,,,,,,,,,,,,0.316862,-3.658224,-0.434378,268.153259,97.956360,213.824753
47,0.391667,,,,,,,,,,,,,0.322172,-3.657322,-0.431136,268.155792,97.946945,213.822266
48,0.400000,,,,,,,,,,,,,0.320847,-3.658754,-0.427244,268.150024,97.955902,213.820755
49,0.408333,,,,,,,,,,,,,0.326316,-3.657570,-0.431906,268.159241,97.952171,213.817917
50,0.416667,,,,,,,,,,,,,0.319023,-3.666667,-0.436459,268.150604,97.947922,213.827454
51,0.425000,,,,,,,,,,,,,0.324155,-3.656307,-0.434290,268.153625,97.951431,213.826843
52,0.433333,,,,,,,,,,,,,0.331911,-3.687909,-0.374647,268.195862,98.074203,213.834213
53,0.441667,,,,,,,,,,,,,0.319684,-3.658803,-0.430814,268.146210,97.958961,213.823685
54,0.450000,,,,,,,,,,,,,0.292721,-3.664193,-0.445838,268.168640,97.989571,213.807281
55,0.458333,,,,,,,,,,,,,0.293506,-3.661108,-0.447966,268.166534,97.991997,213.807449
56,0.466667,,,,,,,,,,,,,0.294108,-3.662710,-0.451826,268.169220,97.986008,213.809387
57,0.475000,,,,,,,,,,,,,0.320088,-3.662662,-0.433228,268.151398,97.947685,213.829376
58,0.483333,,,,,,,,,,,,,0.351001,-3.663726,-0.424735,268.131439,97.879951,213.858292
59,0.491667,,,,,,,,,,,,,0.325377,-3.659970,-0.430152,268.153870,97.944580,213.821091
60,0.500000,,,,,,,,,,,,,0.321988,-3.658286,-0.432616,268.149994,97.948616,213.820190
61,0.508333,,,,,,,,,,,,,0.293970,-3.662822,-0.450515,268.167816,97.994240,213.810043
