Format Version,1.23,Take Name,Squaretest 2023-02-09 10.56.53 AM_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-02-09 11.15.00.872 A.M.,Capture Start Frame,12964338,Total Frames in Take,4160,Total Exported Frames,4160,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
70,0.583333,0.004091,0.005809,-0.001451,270.294495,98.211845,239.638153
71,0.591667,0.054186,-0.018554,-0.210980,270.448242,98.555092,239.681610
72,0.600000,-0.059708,-0.002242,-0.055349,270.329041,98.299858,239.666916
73,0.608333,-0.059826,-0.067623,-0.020104,270.232819,98.290634,239.569229
74,0.616667,0.004775,-0.033633,-0.011308,270.257294,98.197823,239.664490
75,0.625000,0.006910,-0.026926,-0.016933,270.262329,98.212921,239.614899
76,0.633333,0.069833,-0.051936,-0.146323,270.363037,98.500946,239.631378
77,0.641667,0.005255,0.000815,-0.000543,270.292816,98.210518,239.635529
78,0.650000,-0.061223,-0.004657,-0.054241,270.327637,98.305504,239.663589
79,0.658333,0.006136,0.001633,-0.002190,270.290558,98.210037,239.631500
80,0.666667,-0.058810,-0.040270,-0.076217,270.297577,98.317688,239.634933
81,0.675000,0.006843,-0.032057,-0.008809,270.257629,98.207825,239.660522
82,0.683333,0.010069,-0.062593,-0.018761,270.230225,98.202667,239.631622
83,0.691667,0.006818,-0.031574,-0.006807,270.257904,98.202873,239.658936
84,0.700000,-0.057068,0.035550,-0.049774,270.367889,98.311195,239.639679
85,0.708333,-0.053780,-0.001683,-0.053049,270.334869,98.306030,239.663849
86,0.716667,0.009366,-0.031268,-0.008859,270.254303,98.202637,239.657822
87,0.725000,0.009610,-0.060784,-0.018588,270.221893,98.209061,239.635040
88,0.733333,-0.051271,-0.034300,-0.008062,270.262146,98.282585,239.606277
89,0.741667,0.005800,-0.059912,-0.016419,270.221985,98.206337,239.633606
90,0.750000,-0.059964,-0.001087,-0.053062,270.329895,98.309090,239.660843
91,0.758333,-0.055147,0.034228,-0.047057,270.366028,98.316704,239.637665
92,0.766667,0.005368,0.007266,0.006838,270.290131,98.209717,239.634567
93,0.775000,-0.056612,-0.003076,-0.058768,270.324890,98.305412,239.664520
94,0.783333,-0.049047,0.003500,-0.004200,270.304626,98.288811,239.579193
95,0.791667,-0.047414,-0.064681,-0.022147,270.232178,98.286575,239.584229
96,0.800000,-0.057197,0.033353,-0.053590,270.370850,98.304268,239.645706
97,0.808333,0.071913,-0.016257,-0.211163,270.430359,98.535545,239.635727
98,0.816667,-0.054818,-0.002398,-0.074628,270.337860,98.322647,239.612915
99,0.825000,-0.057908,0.035958,-0.046171,270.363922,98.315010,239.643921
100,0.833333,0.006672,-0.030261,-0.007912,270.253387,98.207130,239.663895
101,0.841667,0.009291,-0.033980,-0.008202,270.258575,98.208984,239.664474
102,0.850000,0.008998,-0.034708,-0.006851,270.252228,98.203400,239.662338
103,0.858333,0.002561,0.002236,-0.005701,270.288635,98.216797,239.641403
104,0.866667,-0.057573,-0.002677,-0.073272,270.332275,98.322372,239.612595
105,0.875000,0.000041,0.002573,-0.001815,270.289276,98.215477,239.638306
106,0.883333,-0.057259,0.036945,-0.048797,270.368927,98.311417,239.646774
107,0.891667,0.005897,-0.030035,-0.010785,270.251129,98.206848,239.665665
108,0.900000,-0.056114,-0.039799,-0.077411,270.296906,98.315804,239.637741
109,0.908333,0.006867,-0.062030,-0.019006,270.220215,98.210823,239.637604
110,0.916667,0.009951,0.005539,0.001035,270.288757,98.204651,239.639053
111,0.925000,0.002348,-0.035421,-0.007474,270.252502,98.204498,239.667877
112,0.933333,0.127286,-0.049280,-0.145434,270.346344,98.422028,239.690247
113,0.941667,0.009949,0.002189,-0.000374,270.285553,98.212341,239.635559
114,0.950000,-0.060724,-0.036165,-0.008514,270.259216,98.288109,239.608093
115,0.958333,-0.056448,-0.037306,-0.007439,270.261017,98.285904,239.610001
116,0.966667,0.005881,-0.032748,-0.007705,270.253326,98.201134,239.667068
117,0.975000,0.006002,0.005026,0.001654,270.287201,98.216064,239.637390
118,0.983333,0.002543,0.002910,-0.004461,270.289337,98.215736,239.632538
119,0.991667,0.012993,0.005443,-0.002667,270.293549,98.212608,239.633224
120,1.000000,-0.056696,-0.002065,-0.075798,270.336090,98.320435,239.608948
121,1.008333,0.003527,-0.033340,-0.004768,270.254944,98.201530,239.667435
122,1.016667,0.007524,-0.031406,-0.011304,270.259949,98.196663,239.665482
123,1.025000,-0.024903,-0.068084,-0.021058,270.226349,98.178146,239.620316
124,1.033333,0.009559,-0.065970,-0.024378,270.224640,98.213676,239.636627
125,1.041667,-0.063280,-0.040820,-0.079634,270.297821,98.323944,239.639923
126,1.050000,0.008665,-0.064832,-0.018348,270.222839,98.209915,239.643539
127,1.058333,-0.058987,0.028023,-0.049547,270.368713,98.309769,239.648453
128,1.066667,-0.076664,-0.004588,-0.076436,270.353882,98.335388,239.665131
