68,0.566667,-179.939590,1.838488,-179.575180,-73.750160,101.496613,-8.140718
69,0.575000,-179.939697,1.836826,-179.572464,-73.744766,101.495407,-8.142365
70,0.583333,-179.939514,1.838691,-179.576859,-73.741882,101.496658,-8.143614
71,0.591667,-179.940262,1.839610,-179.573669,-73.745834,101.492996,-8.141171
72,0.600000,-179.936401,1.838276,-179.575394,-73.750542,101.499802,-8.143808
73,0.608333,-179.943146,1.841081,-179.574707,-73.746948,101.499718,-8.141494
74,0.616667,-179.942978,1.840323,-179.573257,-73.744354,101.495743,-8.142419
75,0.625000,-179.941284,1.839942,-179.576492,-73.745506,101.498375,-8.142785
76,0.633333,-179.936493,1.838561,-179.570190,-73.748955,101.494209,-8.140882
77,0.641667,-179.939484,1.839597,-179.573212,-73.744293,101.492378,-8.140273
78,0.650000,-179.936264,1.838991,-179.574219,-73.751289,101.492966,-8.142058
79,0.658333,-179.937393,1.838146,-179.576355,-73.743217,101.493912,-8.145482
80,0.666667,-179.936829,1.837813,-179.571747,-73.746262,101.495293,-8.140900
81,0.675000,-179.936234,1.837944,-179.575317,-73.745483,101.485703,-8.142280
82,0.683333,-179.936188,1.868892,-179.606308,-73.730659,101.528221,-8.113250
83,0.691667,-179.940536,1.837823,-179.574280,-73.750420,101.491035,-8.141666
84,0.700000,-179.939240,1.837324,-179.577927,-73.750526,101.500320,-8.143284
85,0.708333,-179.942932,1.869745,-179.594299,-73.740082,101.521477,-8.104893
86,0.716667,-179.936676,1.868981,-179.609024,-73.737862,101.529495,-8.113518
87,0.725000,-179.934174,1.838122,-179.571472,-73.750954,101.496780,-8.141425
88,0.733333,-179.938705,1.839571,-179.574844,-73.750702,101.498543,-8.136448
89,0.741667,-179.937012,1.840798,-179.570801,-73.745155,101.499107,-8.143644
90,0.750000,-179.939590,1.838795,-179.571213,-73.750298,101.499596,-8.140798
91,0.758333,-179.942062,1.839612,-179.572449,-73.745712,101.497765,-8.141678
92,0.766667,-179.937668,1.838386,-179.575195,-73.747711,101.499580,-8.143111
93,0.775000,-179.940720,1.838453,-179.573990,-73.746315,101.494453,-8.141717
94,0.783333,-179.940781,1.837872,-179.568451,-73.749001,101.494781,-8.142541
95,0.791667,-179.933792,1.870309,-179.609924,-73.727905,101.526199,-8.113006
96,0.800000,-179.944077,1.841195,-179.573715,-73.740486,101.496529,-8.139133
97,0.808333,-179.935410,1.837716,-179.575409,-73.744461,101.495491,-8.139583
98,0.816667,-179.939499,1.841611,-179.576996,-73.744675,101.497482,-8.139573
99,0.825000,-179.940125,1.842237,-179.569565,-73.748276,101.493011,-8.143673
100,0.833333,-179.939011,1.839777,-179.571976,-73.747948,101.492790,-8.143034
101,0.841667,-179.945435,1.865781,-179.588562,-73.738617,101.511887,-8.109634
102,0.850000,-179.939087,1.838214,-179.575485,-73.750000,101.499489,-8.142843
103,0.858333,-179.945526,1.865840,-179.590179,-73.741623,101.517952,-8.113624
104,0.866667,-179.938049,1.836908,-179.574493,-73.751228,101.502823,-8.144422
105,0.875000,-179.941238,1.837728,-179.571091,-73.748947,101.495949,-8.144336
106,0.883333,-179.943008,1.860289,-179.594742,-73.742218,101.512047,-8.112360
107,0.891667,-179.942856,1.864952,-179.594299,-73.741020,101.517441,-8.111678
108,0.900000,-179.936493,1.870399,-179.613235,-73.739166,101.534027,-8.112947
109,0.908333,-179.937576,1.839386,-179.570969,-73.752129,101.494835,-8.144007
110,0.916667,-179.941757,1.837409,-179.575027,-73.752762,101.499397,-8.142767
111,0.925000,-179.944183,1.865559,-179.592300,-73.741653,101.515396,-8.109485
112,0.933333,-179.936890,1.839439,-179.573990,-73.755188,101.500038,-8.139400
113,0.941667,-179.939728,1.839053,-179.574173,-73.753441,101.499718,-8.145575
114,0.950000,-179.941055,1.867089,-179.592056,-73.740051,101.517311,-8.114351
115,0.958333,-179.939880,1.865643,-179.596924,-73.741898,101.520355,-8.113350
116,0.966667,-179.937134,1.834892,-179.572693,-73.754547,101.499641,-8.145278
