Format Version,1.23,Take Name,Take 2023-03-16 11.51.58 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-16 11.51.58.483 A.M.,Capture Start Frame,7031220,Total Frames in Take,2479,Total Exported Frames,2479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,outer,outer,outer,outer,outer,outer,inner,inner,inner,inner,inner,inner,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","4E59680EA26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","66E8B991A26511ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,0.358333,,,,,,,,,,,,,1.318473,-0.282184,0.326487,-19.887180,101.656120,-20.763918
44,0.366667,,,,,,,,,,,,,1.310684,-0.287943,0.324888,-19.889771,101.672371,-20.770729
45,0.375000,,,,,,,,,,,,,1.334245,-0.280161,0.325897,-19.886448,101.670845,-20.766224
46,0.383333,,,,,,,,,,,,,1.369270,-0.245399,0.383114,-19.903162,101.595695,-20.694191
47,0.391667,,,,,,,,,,,,,1.292933,-0.279455,0.329785,-19.884361,101.686440,-20.787771
48,0.400000,,,,,,,,,,,,,1.300683,-0.283326,0.316324,-19.882753,101.671394,-20.784412
49,0.408333,,,,,,,,,,,,,1.326679,-0.279890,0.315195,-19.874432,101.658646,-20.774870
50,0.416667,,,,,,,,,,,,,1.299816,-0.267585,0.328786,-19.866243,101.665588,-20.800037
51,0.425000,,,,,,,,,,,,,1.326170,-0.283678,0.314272,-19.863190,101.661499,-20.771963
52,0.433333,,,,,,,,,,,,,1.327650,-0.279577,0.318055,-19.871962,101.654022,-20.766460
53,0.441667,,,,,,,,,,,,,1.322127,-0.285756,0.312212,-19.874966,101.656326,-20.768810
54,0.450000,,,,,,,,,,,,,1.312341,-0.282890,0.320852,-19.878012,101.665489,-20.777639
55,0.458333,,,,,,,,,,,,,1.373719,-0.245935,0.384417,-19.899197,101.575272,-20.672960
56,0.466667,,,,,,,,,,,,,1.311778,-0.282666,0.327928,-19.882074,101.662315,-20.766550
57,0.475000,,,,,,,,,,,,,1.297889,-0.283927,0.329688,-19.889612,101.663292,-20.775600
58,0.483333,,,,,,,,,,,,,1.315479,-0.280531,0.331569,-19.881762,101.666908,-20.772795
59,0.491667,,,,,,,,,,,,,1.317336,-0.274787,0.337571,-19.889088,101.676460,-20.779037
60,0.500000,,,,,,,,,,,,,1.314561,-0.278732,0.340462,-19.888868,101.663452,-20.771372
