Format Version,1.23,Take Name,Take 2023-03-21 12.08.59 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 12.09.00.620 P.M.,Capture Start Frame,8664872,Total Frames in Take,3831,Total Exported Frames,3831,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
68,0.566667,-179.748901,1.141372,179.925049,-49.910748,101.811157,-20.927639
69,0.575000,-179.750412,1.140074,179.925934,-49.917034,101.819557,-20.924131
70,0.583333,-179.753647,1.139390,179.925293,-49.913967,101.813362,-20.926764
71,0.591667,-179.859344,1.222623,-179.977951,-49.818577,101.674049,-20.789026
72,0.600000,-179.751221,1.138706,179.922134,-49.915718,101.820335,-20.923897
73,0.608333,-179.766190,1.143058,179.910141,-49.881447,101.814850,-20.898968
74,0.616667,-179.750778,1.139110,179.924759,-49.916008,101.821098,-20.926134
75,0.625000,-179.765244,1.145986,179.911880,-49.880146,101.817108,-20.901943
76,0.633333,-179.752655,1.138109,179.925674,-49.911682,101.817154,-20.929911
77,0.641667,-179.790939,1.164346,179.957184,-49.931870,101.866295,-20.957478
78,0.650000,-179.792206,1.166095,179.955795,-49.932167,101.869415,-20.955801
79,0.658333,-179.752930,1.138476,179.924911,-49.914635,101.818275,-20.926493
80,0.666667,-179.793869,1.164634,179.952271,-49.930321,101.871132,-20.960602
81,0.675000,-179.757950,1.138991,179.923462,-49.913502,101.821960,-20.927834
82,0.683333,-179.751404,1.139720,179.924942,-49.915508,101.820488,-20.929970
83,0.691667,-179.766876,1.146094,179.912048,-49.880581,101.808769,-20.896608
84,0.700000,-179.764633,1.145488,179.915253,-49.886131,101.809647,-20.893661
85,0.708333,-179.804855,1.163686,179.947021,-49.895546,101.867851,-20.933231
86,0.716667,-179.842865,1.218171,-179.956970,-49.848698,101.661644,-20.812645
87,0.725000,-179.795975,1.165083,179.958008,-49.935650,101.865738,-20.963091
88,0.733333,-179.755096,1.138893,179.924423,-49.919537,101.817688,-20.927898
89,0.741667,-179.804413,1.167043,179.947372,-49.896992,101.862816,-20.931238
90,0.750000,-179.797150,1.165529,179.953964,-49.937580,101.864410,-20.958969
91,0.758333,-179.765869,1.143057,179.915817,-49.884148,101.813972,-20.901855
92,0.766667,-179.846207,1.218739,-179.948486,-49.851471,101.655693,-20.807919
93,0.775000,-179.750458,1.139235,179.927612,-49.917885,101.822678,-20.931822
94,0.783333,-179.838211,1.215522,-179.958984,-49.858913,101.667908,-20.812250
95,0.791667,-179.750443,1.140357,179.928131,-49.918701,101.816544,-20.927866
96,0.800000,-179.751099,1.139008,179.926208,-49.915642,101.804764,-20.928953
97,0.808333,-179.752228,1.139005,179.928238,-49.915455,101.811043,-20.929506
98,0.816667,-179.749496,1.138914,179.925476,-49.918232,101.819092,-20.925995
99,0.825000,-179.754913,1.136454,179.928757,-49.922585,101.821411,-20.926594
100,0.833333,-179.803741,1.165878,179.941391,-49.902031,101.872551,-20.930183
101,0.841667,-179.750656,1.141609,179.926193,-49.918381,101.825119,-20.925415
102,0.850000,-179.750198,1.140516,179.927765,-49.923054,101.816566,-20.925541
103,0.858333,-179.748764,1.138975,179.926697,-49.921074,101.821709,-20.928209
104,0.866667,-179.750168,1.137025,179.924576,-49.918289,101.816750,-20.922302
105,0.875000,-179.768021,1.147167,179.911301,-49.891354,101.821335,-20.899094
106,0.883333,-179.751007,1.141411,179.925125,-49.926041,101.821548,-20.921804
107,0.891667,-179.804001,1.170307,179.943176,-49.904076,101.871948,-20.927383
108,0.900000,-179.790619,1.168207,179.955597,-49.937134,101.878006,-20.958567
109,0.908333,-179.748215,1.137243,179.924667,-49.920925,101.822899,-20.927830
110,0.916667,-179.792130,1.163934,179.952698,-49.938515,101.879761,-20.954676
111,0.925000,-179.746780,1.138667,179.926193,-49.926361,101.820755,-20.923716
112,0.933333,-179.791229,1.164235,179.953857,-49.937935,101.870934,-20.954163
113,0.941667,-179.843521,1.218772,-179.953964,-49.856770,101.671700,-20.800320
114,0.950000,-179.765930,1.144191,179.912338,-49.883518,101.819160,-20.896536
115,0.958333,-179.753571,1.139286,179.922089,-49.921104,101.825241,-20.927099
116,0.966667,-179.838745,1.214708,-179.954880,-49.858868,101.667999,-20.808102
117,0.975000,-179.749191,1.140904,179.925095,-49.919556,101.821251,-20.922096
118,0.983333,-179.749985,1.143035,179.929642,-49.921131,101.814835,-20.918800
119,0.991667,-179.751022,1.137711,179.927475,-49.922665,101.818748,-20.920427
120,1.000000,-179.749359,1.137136,179.926208,-49.918545,101.823128,-20.924980
121,1.008333,-179.788589,1.162881,179.954391,-49.935291,101.875252,-20.955624
122,1.016667,-179.749329,1.139495,179.927277,-49.919991,101.823341,-20.926622
123,1.025000,-179.765533,1.144633,179.915619,-49.882629,101.816269,-20.898857
124,1.033333,-179.750031,1.139621,179.927383,-49.917030,101.811584,-20.922176
125,1.041667,-179.804611,1.166819,179.945801,-49.900837,101.864914,-20.927410
126,1.050000,-179.747284,1.139085,179.925430,-49.916645,101.821373,-20.926405
127,1.058333,-179.843979,1.217694,-179.952621,-49.854694,101.669151,-20.803984
128,1.066667,-179.842148,1.221220,-179.957672,-49.859119,101.673157,-20.806917
129,1.075000,-179.748322,1.141171,179.928024,-49.918671,101.818016,-20.923353
130,1.083333,-179.789246,1.166093,179.952393,-49.938416,101.870483,-20.956810
131,1.091667,-179.752411,1.139604,179.922028,-49.918442,101.818733,-20.919136
132,1.100000,-179.748474,1.139232,179.926331,-49.916988,101.817970,-20.923992
133,1.108333,-179.760605,1.142669,179.910873,-49.879776,101.817039,-20.898623
134,1.116667,-179.837357,1.213881,-179.955856,-49.853210,101.666893,-20.812502
135,1.125000,-179.751984,1.137379,179.925430,-49.919903,101.818558,-20.922190
136,1.133333,-179.753036,1.142573,179.926392,-49.915398,101.818764,-20.919863
137,1.141667,-179.798843,1.166340,179.948273,-49.897675,101.862595,-20.923985
138,1.150000,-179.753784,1.140363,179.926926,-49.916218,101.816017,-20.922371
139,1.158333,-179.794937,1.165226,179.955292,-49.933540,101.870941,-20.957315
140,1.166667,-179.751831,1.139435,179.924622,-49.915497,101.821938,-20.925327
141,1.175000,-179.765121,1.142375,179.910614,-49.880478,101.816071,-20.898233
142,1.183333,-179.750122,1.137194,179.927902,-49.914532,101.815735,-20.923628
143,1.191667,-179.801788,1.171389,179.947830,-49.897552,101.865730,-20.925484
144,1.200000,-179.749649,1.141445,179.922577,-49.920288,101.816231,-20.922108
145,1.208333,-179.753540,1.137730,179.924362,-49.912281,101.816360,-20.922821
146,1.216667,-179.747498,1.136767,179.927795,-49.915455,101.814270,-20.925936
147,1.225000,-179.859772,1.217509,-179.975555,-49.821609,101.666672,-20.785091
148,1.233333,-179.763672,1.143115,179.912460,-49.880695,101.816658,-20.901228
149,1.241667,-179.766983,1.142182,179.910919,-49.882763,101.813599,-20.897921
150,1.250000,-179.858658,1.216401,-179.977768,-49.821671,101.675346,-20.789177
151,1.258333,-179.770599,1.143996,179.913010,-49.878323,101.811279,-20.894630
152,1.266667,-179.759949,1.145579,179.914490,-49.879623,101.815704,-20.897768
153,1.275000,-179.763779,1.144696,179.912231,-49.876381,101.814621,-20.895964
154,1.283333,-179.844193,1.216683,-179.955124,-49.855320,101.673424,-20.807161
155,1.291667,-179.766357,1.145195,179.910965,-49.881004,101.815086,-20.893890
156,1.300000,-179.766357,1.141988,179.908585,-49.883049,101.815445,-20.897148
157,1.308333,-179.765335,1.143520,179.913193,-49.880123,101.814217,-20.899418
158,1.316667,-179.746323,1.140066,179.927170,-49.915695,101.812729,-20.924868
159,1.325000,-179.749313,1.140482,179.924759,-49.913017,101.815018,-20.924595
160,1.333333,-179.750458,1.138907,179.923920,-49.914024,101.812721,-20.928936
161,1.341667,-179.750244,1.135760,179.923065,-49.911850,101.817482,-20.927382
162,1.350000,-179.751709,1.136080,179.927887,-49.916420,101.811760,-20.923677
163,1.358333,-179.748871,1.136096,179.925903,-49.914074,101.813759,-20.927607
164,1.366667,-179.765137,1.146604,179.911270,-49.883301,101.815704,-20.899147
165,1.375000,-179.847519,1.221293,-179.952927,-49.857956,101.665276,-20.805195
166,1.383333,-179.843246,1.219652,-179.955597,-49.852551,101.667114,-20.805445
167,1.391667,-179.766937,1.140755,179.911438,-49.881359,101.820099,-20.897408
168,1.400000,-179.751709,1.138911,179.927780,-49.914181,101.818504,-20.926676
169,1.408333,-179.766968,1.145310,179.909698,-49.881893,101.814240,-20.899807
170,1.416667,-179.764725,1.144819,179.914795,-49.883781,101.810936,-20.898617
171,1.425000,-179.767761,1.145424,179.918167,-49.884102,101.811394,-20.901024
172,1.433333,-179.863464,1.219073,-179.976089,-49.823685,101.666847,-20.787193
173,1.441667,-179.746796,1.136538,179.925095,-49.912739,101.812889,-20.925587
174,1.450000,-179.765549,1.142308,179.907272,-49.882805,101.815758,-20.901466
175,1.458333,-179.762115,1.143863,179.912338,-49.879723,101.808426,-20.895760
176,1.466667,-179.768631,1.142081,179.913132,-49.885380,101.811684,-20.899874
177,1.475000,-179.770523,1.143580,179.912537,-49.882942,101.810646,-20.898460
178,1.483333,-179.845581,1.218053,-179.957825,-49.850719,101.661362,-20.807894
179,1.491667,-179.764587,1.142400,179.912338,-49.880135,101.812859,-20.899448
180,1.500000,-179.858719,1.217424,-179.979797,-49.820538,101.667419,-20.783737
181,1.508333,-179.766006,1.144246,179.915176,-49.879845,101.812820,-20.895144
182,1.516667,-179.763000,1.147266,179.912872,-49.885902,101.817047,-20.899837
183,1.525000,-179.765961,1.143461,179.910767,-49.880989,101.813736,-20.894732
184,1.533333,-179.753418,1.141123,179.924347,-49.915184,101.818413,-20.921061
185,1.541667,-179.842407,1.219392,-179.955429,-49.851490,101.659187,-20.805025
186,1.550000,-179.751862,1.140893,179.923477,-49.916584,101.815651,-20.923056
187,1.558333,-179.745667,1.139239,179.923630,-49.912918,101.814095,-20.923683
188,1.566667,-179.796890,1.163320,179.951691,-49.933800,101.868301,-20.957285
189,1.575000,-179.748215,1.142576,179.926163,-49.916481,101.816887,-20.926580
190,1.583333,-179.746658,1.136323,179.924530,-49.914078,101.812416,-20.924137
191,1.591667,-179.746140,1.138690,179.926010,-49.920891,101.816010,-20.929625
192,1.600000,-179.796204,1.164597,179.954102,-49.935471,101.865936,-20.953241
193,1.608333,-179.750992,1.136795,179.927094,-49.916531,101.811523,-20.922808
194,1.616667,-179.792007,1.162400,179.953583,-49.933067,101.869209,-20.956724
195,1.625000,-179.751892,1.136864,179.924820,-49.916821,101.815559,-20.926254
196,1.633333,-179.764160,1.143324,179.914673,-49.881798,101.819336,-20.895647
197,1.641667,-179.748184,1.141007,179.924789,-49.918564,101.811447,-20.923399
198,1.650000,-179.843475,1.219772,-179.951645,-49.854225,101.658539,-20.802891
199,1.658333,-179.863342,1.217458,-179.978760,-49.828423,101.671043,-20.785933
200,1.666667,-179.764969,1.144790,179.911682,-49.876644,101.814026,-20.897984
201,1.675000,-179.764557,1.142873,179.909119,-49.879440,101.812431,-20.900171
